_time,_value,_measurement,sensor_name
2023-11-08 12:25:56.648394+01:00,3.1,PC,cpu0
2023-11-08 12:26:02.650636+01:00,9.2,PC,cpu0
2023-11-08 12:26:08.651700+01:00,3.2,PC,cpu0
2023-11-08 12:26:14.654201+01:00,0.0,PC,cpu0
2023-11-08 12:26:20.653640+01:00,0.0,PC,cpu0
2023-11-08 12:26:26.654747+01:00,0.0,PC,cpu0
2023-11-08 12:26:32.655843+01:00,0.0,PC,cpu0
2023-11-08 12:26:38.653999+01:00,0.0,PC,cpu0
2023-11-08 12:26:44.655748+01:00,0.0,PC,cpu0
2023-11-08 12:26:50.657308+01:00,0.0,PC,cpu0
2023-11-08 12:26:56.703123+01:00,1.6,PC,cpu0
2023-11-08 12:27:02.660878+01:00,0.0,PC,cpu0
2023-11-08 12:27:08.664693+01:00,0.0,PC,cpu0
2023-11-08 12:27:14.716800+01:00,1.6,PC,cpu0
2023-11-08 12:27:20.667556+01:00,0.0,PC,cpu0
2023-11-08 12:27:26.671859+01:00,1.6,PC,cpu0
2023-11-08 12:27:32.677693+01:00,0.0,PC,cpu0
2023-11-08 12:27:38.675832+01:00,0.0,PC,cpu0
2023-11-08 12:27:44.677025+01:00,0.0,PC,cpu0
2023-11-08 12:27:50.678269+01:00,0.0,PC,cpu0
2023-11-08 12:27:56.679449+01:00,0.0,PC,cpu0
2023-11-08 12:28:02.683210+01:00,0.0,PC,cpu0
2023-11-08 12:28:08.684727+01:00,0.0,PC,cpu0
2023-11-08 12:28:14.691291+01:00,0.0,PC,cpu0
2023-11-08 12:28:20.697812+01:00,0.0,PC,cpu0
2023-11-08 12:28:26.701035+01:00,0.0,PC,cpu0
2023-11-08 12:28:32.697087+01:00,0.0,PC,cpu0
2023-11-08 12:28:38.704360+01:00,0.0,PC,cpu0
2023-11-08 12:28:44.707696+01:00,0.0,PC,cpu0
2023-11-08 12:28:50.706913+01:00,0.0,PC,cpu0
2023-11-08 12:28:56.710088+01:00,0.0,PC,cpu0
2023-11-08 12:29:02.712800+01:00,0.0,PC,cpu0
2023-11-08 12:29:08.716319+01:00,0.0,PC,cpu0
2023-11-08 12:29:14.717084+01:00,0.0,PC,cpu0
2023-11-08 12:29:20.720829+01:00,0.0,PC,cpu0
2023-11-08 12:29:26.725190+01:00,0.0,PC,cpu0
2023-11-08 12:29:32.726706+01:00,0.0,PC,cpu0
2023-11-08 12:29:38.728782+01:00,0.0,PC,cpu0
2023-11-08 12:29:44.737247+01:00,0.0,PC,cpu0
2023-11-08 12:29:50.736874+01:00,0.0,PC,cpu0
2023-11-08 12:29:56.739087+01:00,0.0,PC,cpu0
2023-11-08 12:30:02.741959+01:00,9.2,PC,cpu0
2023-11-08 12:30:08.746191+01:00,6.1,PC,cpu0
2023-11-08 12:30:14.748750+01:00,3.1,PC,cpu0
2023-11-08 12:30:20.751956+01:00,1.6,PC,cpu0
2023-11-08 12:30:26.757068+01:00,0.0,PC,cpu0
2023-11-08 12:30:32.756543+01:00,0.0,PC,cpu0
2023-11-08 12:30:38.756991+01:00,0.0,PC,cpu0
2023-11-08 12:30:44.757665+01:00,0.0,PC,cpu0
2023-11-08 12:30:50.758408+01:00,0.0,PC,cpu0
2023-11-08 12:30:56.759914+01:00,1.6,PC,cpu0
2023-11-08 12:31:02.761308+01:00,0.0,PC,cpu0
2023-11-08 12:31:08.762182+01:00,0.0,PC,cpu0
2023-11-08 12:31:14.763334+01:00,3.1,PC,cpu0
2023-11-08 12:31:20.765299+01:00,1.6,PC,cpu0
2023-11-08 12:31:26.766760+01:00,0.0,PC,cpu0
2023-11-08 12:31:32.767931+01:00,0.0,PC,cpu0
2023-11-08 12:31:38.768024+01:00,0.0,PC,cpu0
2023-11-08 12:31:44.769784+01:00,0.0,PC,cpu0
2023-11-08 12:31:50.771056+01:00,0.0,PC,cpu0
2023-11-08 12:31:56.771659+01:00,0.0,PC,cpu0
